date,first,second,Third,fourth,notes
14/7/22,50,50,50,50,started
15/7/22,4,4,4,4,sample
16/7/22,4,4,4,4,sample
17/7/22,4,4,4,4,sample
18/7/22,5,5,5,5,sample
19/7/22,6,6,6,6,sample
20/7/22,7,7,7,7,sample
21/7/22,8,8,8,8,sample
22/7/22,10,10,10,10,sample
23/7/22,11,11,11,11,sample
24/7/22,12,12,12,12,sample
25/7/22,12,12,12,12,sample
26/7/22,11,11,11,11,sample
27/7/22,11,11,11,11,sample
28/7/22,12,11,11,11,sample
29/7/22,12,12,12,12,sample
30/7/22,15,15,15,15,sample
31/7/22,15,15,15,15,sample
1/8/22,15,15,15,15,sample
2/8/22,15,15,15,14,sample
3/8/22,16,16,15,15,sample
4/8/22,15,15,15,15,sample
5/8/22,14,15,14,16,sample
6/8/22,16,16,16,16,sample
7/8/22,16,16,15,15,sample
8/8/22,16,16,16,16,sample
9/8/22,17,17,17,16,sample
10/8/22,16,16,16,16,sample
11/8/22,16,16,16,16,sample
12/8/22,16,17,17,17,sample
13/8/22,17,17,17,17,sample
